"Hushåll som fått utkomststöd under året totalt";"1248";"Lappland";"19";"totalt";2018;8964;8964
"Hushåll som fått utkomststöd under året totalt";"1248";"Lappland";"19";"totalt";2019;8571;8571
"Hushåll som fått utkomststöd under året totalt";"1248";"Lappland";"19";"totalt";2020;8746;8746
"Hushåll som fått utkomststöd under året totalt";"1248";"Lappland";"19";"totalt";2021;8071;8071
"Hushåll som fått utkomststöd under året totalt";"1248";"Lappland";"19";"totalt";2022;7544;7544
"Hushåll som fått utkomststöd under året totalt";"1248";"Lappland";"19";"totalt";2023;7062;7062
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2014;13212;13212
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2015;13458;13458
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2016;13515;13515
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2017;17105;17105
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2018;17475;17475
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2019;17187;17187
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2020;17775;17775
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2021;16517;16517
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2022;16209;16209
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Finland";"13";"totalt";2023;14931;14931
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2014;2211;2211
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2015;2262;2262
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2016;2444;2444
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2017;2732;2732
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2018;2669;2669
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2019;2628;2628
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2020;2678;2678
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2021;2485;2485
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2022;2447;2447
"Hushåll som fått utkomststöd under året totalt";"1248";"Mellersta Österbotten";"16";"totalt";2023;2216;2216
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2014;9596;9596
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2015;9408;9408
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2016;9432;9432
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2017;10594;10594
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2018;10399;10399
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2019;9826;9826
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2020;9970;9970
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2021;9139;9139
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2022;8760;8760
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Karelen";"12";"totalt";2023;8182;8182
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2014;12846;12846
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2015;12897;12897
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2016;12992;12992
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2017;15156;15156
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2018;15316;15316
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2019;14866;14866
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2020;15061;15061
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2021;13976;13976
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2022;13256;13256
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Savolax";"11";"totalt";2023;12475;12475
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2014;15896;15896
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2015;16221;16221
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2016;16439;16439
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2017;19812;19812
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2018;19824;19824
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2019;19563;19563
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2020;20231;20231
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2021;18708;18708
"Hushåll som fått utkomststöd under året totalt";"1248";"Norra Österbotten";"17";"totalt";2022;17860;17860
